2025-11-09 00:52:06.079 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3218b048
2025-11-09 00:52:06.081 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-11-09 00:52:06.833 [http-nio-8080-exec-3] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：2 已经存储到localthread
2025-11-09 00:52:06.844 [http-nio-8080-exec-3] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-11-09 00:52:14.342 [http-nio-8080-exec-4] INFO  com.itheima.controller.LoginController-登陆：Emp(id=null, username=linchong, password=123456, name=null, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2025-11-09 00:52:14.356 [http-nio-8080-exec-4] INFO  com.itheima.service.impl.EmpServiceImpl-登陆成功:Emp(id=10, username=linchong, password=null, name=林冲, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2025-11-09 00:52:16.960 [http-nio-8080-exec-5] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 00:52:16.967 [http-nio-8080-exec-5] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-11-09 00:52:20.409 [http-nio-8080-exec-6] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 00:52:20.442 [http-nio-8080-exec-6] INFO  com.itheima.controller.DeptController-新增部门: Dept(id=null, name=777, createTime=2025-11-09T00:52:20.424635, updateTime=2025-11-09T00:52:20.424697)
